game_id,blue_kills,blue_deaths,blue_assists,blue_elite_monsters,blue_dragons,blue_heralds,blue_towers_destroyed,blue_total_gold,blue_avg_level,blue_total_experience,blue_total_minions_killed,blue_total_jungle_minions_killed,blue_gold_diff,blue_experience_diff,blue_cs_per_min,blue_gold_per_min,red_kills,red_deaths,red_assists,red_elite_monsters,red_dragons,red_heralds,red_towers_destroyed,red_total_gold,red_avg_level,red_total_experience,red_total_minions_killed,red_total_jungle_minions_killed,red_gold_diff,red_experience_diff,red_cs_per_min,red_gold_per_min,winner,blue_kda,red_kda,blue_vision_score,red_vision_score,first_blood
4523858150,4,11,3,0,0,0,0,15483,6.8,17362,222,48,-3025,-1833,22.2,1548.3,11,4,16,1,1,0,0,18508,7.2,19195,213,39,3025,1833,21.3,1850.8,red,0.64,6.75,31,41,red
4459778854,10,6,12,0,0,0,0,19226,7.4,20118,231,44,3004,2300,23.1,1922.6,6,10,7,0,0,0,0,16222,7,17818,185,39,-3004,-2300,18.5,1622.2,blue,3.67,1.3,37,18,red
4499523222,9,6,14,1,1,0,0,16945,6.8,17806,204,36,1574,761,20.4,1694.5,6,9,6,0,0,0,0,15371,6.8,17045,194,54,-1574,-761,19.4,1537.1,blue,3.83,1.33,21,19,red
4477029310,5,5,3,0,0,0,0,15000,6.6,16493,233,16,-1036,-1423,23.3,1500,5,5,4,0,0,0,0,16036,7,17916,221,44,1036,1423,22.1,1603.6,blue,1.6,1.8,14,20,blue
4525037711,3,4,2,1,0,1,0,15888,7.4,19090,252,60,16,433,25.2,1588.8,4,3,2,1,1,0,0,15872,7,18657,243,49,-16,-433,24.3,1587.2,red,1.25,2,22,43,blue
4459414345,1,10,0,0,0,0,0,12925,6.4,15498,187,32,-6386,-4210,18.7,1292.5,10,1,6,1,0,1,1,19311,7.2,19708,247,56,6386,4210,24.7,1931.1,red,0.1,16,41,13,red
4505664040,11,2,9,0,0,0,0,19250,7.6,19703,251,48,5096,3310,25.1,1925,2,11,2,0,0,0,0,14154,6.4,16393,196,53,-5096,-3310,19.6,1415.4,blue,10,0.36,18,18,blue
4439587692,8,4,5,1,1,0,1,18355,7,18790,218,54,2756,1683,21.8,1835.5,4,8,5,0,0,0,0,15599,6.8,17107,200,57,-2756,-1683,20,1559.9,blue,3.25,1.12,20,18,blue
4508000311,2,3,2,1,0,1,0,13978,6.6,16429,180,44,-977,-1025,18,1397.8,3,2,1,0,0,0,0,14955,6.8,17454,218,56,977,1025,21.8,1495.5,blue,1.33,2,17,16,red
4513365614,5,5,8,0,0,0,0,15851,6.8,17366,206,56,-808,-1655,20.6,1585.1,5,5,6,0,0,0,0,16659,7.2,19021,241,44,808,1655,24.1,1665.9,red,2.6,2.2,17,44,red
